57.noteoncount,Hispanic/Latinos can be of any raec,Hispanic/Latinos can be of any race
21.sex,Femle,Female
9.noteonpercent,Hspanic/Latinos can be of any race,Hispanic/Latinos can be of any race
43.sexraceethnicity,"Total - Male, Paciic Islander, non-Hispanic","Total - Male, Pacific Islander, non-Hispanic"
4.raceethnicity,"Amermican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
65.noteonpercent,Hipsanic/Latinos can be of any race,Hispanic/Latinos can be of any race
18.noteoncount,Hispanic/Latinos can be of any raec,Hispanic/Latinos can be of any race
59.sex,Feamle,Female
64.sex,Femacle,Female
27.sex,jFemale,Female
4.noteonpercent,Hispanic/Latinos can be of any arce,Hispanic/Latinos can be of any race
67.sex,Femeale,Female
29.noteoncount,Hispanic/Lainos can be of any race,Hispanic/Latinos can be of any race
44.sexraceethnicity,"Total - Male, Pacific Islander, non-Hisapnic","Total - Male, Pacific Islander, non-Hispanic"
27.noteoncount,Hispanic/Latinoscan be of any race,Hispanic/Latinos can be of any race
1.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
46.noteoncount,Hispanic/Latinos can be of any rauce,Hispanic/Latinos can be of any race
6.sex,oMale,Male
42.sex,ale,Male
58.sex,emale,Female
49.sex,ale,Male
26.sex,Femaule,Female
5.raceethnicity,"American Inidan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
20.noteonpercent,Hispanic/Latinos can be of any raec,Hispanic/Latinos can be of any race
24.noteonpercent,Hispanic/Latinos can bve of any race,Hispanic/Latinos can be of any race
46.raceethnicity,"American Indian/Alaska ative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
23.noteonpercent,Hispanic/Latinons can be of any race,Hispanic/Latinos can be of any race
31.noteoncount,Hispanwic/Latinos can be of any race,Hispanic/Latinos can be of any race
8.sexraceethnicity,Total -a Female,Total - Female
54.noteoncount,Hispanic/Latinos can be ofany race,Hispanic/Latinos can be of any race
12.noteoncount,Hispanic/Latinos can be f any race,Hispanic/Latinos can be of any race
5.noteoncount,Hispanic/Latinos canb e of any race,Hispanic/Latinos can be of any race
11.noteonpercent,Hinspanic/Latinos can be of any race,Hispanic/Latinos can be of any race
58.noteonpercent,Hispanic/Latinos can be of an yrace,Hispanic/Latinos can be of any race
7.raceethnicity,"American Indian/Alaska Native, nno-Hispanic","American Indian/Alaska Native, non-Hispanic"
52.raceethnicity,"hite, non-Hispanic","White, non-Hispanic"
6.sexraceethnicity,Totdal - Male,Total - Male
48.noteonpercent,Hispanic/Latinos can eb of any race,Hispanic/Latinos can be of any race
62.noteoncount,Hispanic/Latinos can be of cany race,Hispanic/Latinos can be of any race
65.noteoncount,Hispanic/Latginos can be of any race,Hispanic/Latinos can be of any race
14.raceethnicity,"Blacok, non-Hispanic ","Black, non-Hispanic "
32.noteoncount,Hispanic/Latinos can be of any rawce,Hispanic/Latinos can be of any race
38.noteonpercent,Hispanic/Latinos can be of jany race,Hispanic/Latinos can be of any race
25.noteoncount,Hispanic/Latinos can be of any rae,Hispanic/Latinos can be of any race
62.sexraceethnicity,"Total - Femadle, Asian, non-Hispanic","Total - Female, Asian, non-Hispanic"
26.noteoncount,Hispanic/Latinos canh be of any race,Hispanic/Latinos can be of any race
60.sexraceethnicity,"Total - Female, ispanic","Total - Female, Hispanic"
10.noteonpercent,Hispanc/Latinos can be of any race,Hispanic/Latinos can be of any race
51.sexraceethnicity,"Total s- Male, Two or more races, non-Hispanic","Total - Male, Two or more races, non-Hispanic"
25.noteonpercent,Hispanic/Latinos canbe of any race,Hispanic/Latinos can be of any race
58.sexraceethnicity,"Tota - Female, Hispanic","Total - Female, Hispanic"
22.noteonpercent,Hispainc/Latinos can be of any race,Hispanic/Latinos can be of any race
4.sexraceethnicity,Totl - Male,Total - Male
55.sexraceethnicity,"Total - Femaele, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
15.sexraceethnicity,"Total -l Black, non-Hispanic ","Total - Black, non-Hispanic "
68.sexraceethnicity,"Total - Female, Aemrican Indian/Alaska Native, non-Hispanic","Total - Female, American Indian/Alaska Native, non-Hispanic"
25.sexraceethnicity,"Total - American Imndian/Alaska Native, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
9.sexraceethnicity,Total -n Female,Total - Female
19.noteoncount,Hispanic/Latinos can be of anyrace,Hispanic/Latinos can be of any race
69.raceethnicity,"American Indian/Alaska Nativue, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
