countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ADAIR,10-C019,PEAVINE,Stilwell***,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,http://wtww.peavinepanthers.net/,Michael Hargis,mhargis@peavinepanthers.nert,Epdward Gass
ADAIR,01-C022,MARYETTA,Stilwll,"Rural Route 6, Box 2840",OeK,74960.0,(918) 966-2285,(918) 966-6746,htp://www.maryetta.k12.ok.us,iLori Means,lmeans@maryetta.k12.ko.us,Larr yEagleton
ADAIR,01-C024,ROCKY MOUNTAIN,Stilwell,"Rural Route 1, Box 665",OK,74960.0,(918) 696-7509,(918) 696-3645,www.rockymtn.k12.ok.us,Alicia Ketchuer,aketcher@rockymtn.k12.ok.us,Angelia Dowty
ADAIR,01-C028,ZION,Stilwell,470658 E. 850 Raod,OK,74960.0,(918) 696-7866,(918) 696-6226,www.bokosheschool.org,Charles Benham,c_benham@zionjets.com,Robert Patetrson
ADAIR,10-C029,DAHLONEGAH,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 696-7807,(18) 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
ADAIR,01-C032,GREASY,Bunch,92009 South 4676 Road,OK,74931.0,918) 696-7768,(918) 696-7240,ww.bokosheschool.org,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Reba Bruner
ADAIR ***,01-I004,WATTS ***,atts,616 6Th Sreet,OK,74964.0,(918) 422-5311,(918) 422-5556,wattschool.com,Lisa Weaver,lwevaer@WATTSSCHOOL.COM,Brigitte Beavers
ADAIR,01-I011,WESTVILLE,Westville,500 W Chincapin,OK,74965.0,9(18) 723-3181,(918) 72-33042,http://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,STILWELL,Stilwell,1801 West Locust Street,OK,74960.0,(918) 696-7001,(918) 696-2193,http://wwws.tilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org,Gordon Chronister
ADAIR,01-I030,CAVE SPRINGS,Bcunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cahvesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,02-I001,BURLINGTON,Burlingtotn,401 Main St.,OK,73722.0,(580) 431-2222,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I046,CHEROKEE,Cherokee,412 East 5Th Street,OK,73728.0,(580) 56-3391,(580) 596-2319,ttp://cherokee.k12.ok.us/,Donn aAnderson,ANDERSOND@CHEROKE.EK12.OK.US,Kory Littlefield
ALFALFA d,02-I09f3,TIMBERLAKE,Helena,601 . Main,nOK,73741.0,(580)852-3307,(580) 852-3280,www.tlake.k12.ok.us,Mark Newton,mnewton@tlake.k12.ok.us,Chad Greb
ATOKA,3-C021,HARMONY,Atoka,4926 S Bently Rd,OK,74525.0,(580) 889-3687***,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harwmonyps.org,Jarod Hatcher
